MFE,FETE,FMSE,ED
-0.8,-1.41,0.371463,2.97
0,-0.48,0.458155,2.26
0,-0.04,0.942235,0.23
-2.3,-2.36,0.913927,0.6
0,-0.32,0.592157,1.7
-0.5,-1.39,0.236098,3.95
-0.5,-0.84,0.574042,1.72
-1.5,-1.72,0.696834,1.68
0,-0.2,0.722868,1.27
-0.9,-1.56,0.343161,1.95
-0.1,-0.52,0.50602,1.18
-3.3,-3.36,0.899984,0.45
-0.9,-1.5,0.379585,4.2
0,-0.21,0.716893,1.31
0,0,0.993791,0.01
0,-0.03,0.949995,0.15
0,-0.08,0.882986,0.43
0,-0.08,0.879507,0.62
-0.6,-1.21,0.37426,2.81
0,-0.74,0.303147,3.42
0,-0.03,0.957596,0.1
-3.4,-3.47,0.897129,0.59
-1.7,-2.01,0.602442,2.8
0,-0.48,0.455564,3.01
0,-0.42,0.503032,3.37
-4.2,-4.32,0.820692,0.92
-0.8,-1.23,0.497182,3.09
0,-0.56,0.403596,2.83
0,-0.27,0.6446,1.85
0,-0.08,0.87799,0.42
-0.7,-1.19,0.44806,1.12
0,-0.01,0.991577,0.02
-3.5,-3.62,0.821834,1.91
-1.6,-1.88,0.639041,2.31
-0.5,-1.08,0.388487,2.33
-4.2,-4.39,0.738353,0.59
-1.1,-1.97,0.242912,2.82
-1.7,-1.88,0.748035,2.14
-1.6,-1.94,0.57149,1.52
0,-0.13,0.815364,0.67
-1.6,-1.98,0.540968,3.59
-1.1,-1.56,0.471487,3.72
-2.9,-3.27,0.552515,4.2
-4.6,-4.64,0.936613,0.19
-3.7,-3.75,0.920196,0.58
-3.9,-4.09,0.733928,1.6
-2.3,-3.23,0.221698,4.48
-2.6,-3.1,0.447517,4.15
0,-0.89,0.237195,4.14
-4.1,-4.22,0.825112,0.34
0,-0.09,0.862706,0.42
0,-0.54,0.413493,2.56
0,-0.26,0.65522,1.26
-1.3,-1.67,0.5496,3.57
-0.6,-1.3,0.319162,3.67
-7.1,-7.12,0.973137,0.09
-0.3,-1.01,0.315502,3.62
-2,-2.54,0.413079,3.3
-2.1,-2.33,0.693059,0.71
0,-0.03,0.960182,0.11
-3.1,-3.33,0.693801,1.04
0,-0.14,0.796795,1.08
0,-0.1,0.850151,0.71
-0.2,-0.66,0.472118,2.72
0,-0.37,0.550273,1.75
-1.7,-1.85,0.778787,0.9
0,-0.14,0.790375,0.8
-4.7,-4.7,0.99249,0.02
0,-0.61,0.369949,3.48
-1.8,-2.11,0.607706,2.6
-1.1,-1.55,0.480642,2.92
-7.1,-7.15,0.923725,0.27
-3.1,-3.7,0.37497,4.87
-2.6,-2.81,0.712912,1.73
0,-0.13,0.803564,0.69
-2.9,-2.99,0.867017,1.29
-1.6,-2.17,0.397619,3.98
0,-0.03,0.95156,0.2
-0.2,-0.68,0.456714,1.75
-2,-2.12,0.82629,1
-4.4,-5.25,0.250925,3.61
-2.4,-2.77,0.552889,2.91
-5.9,-6.26,0.558093,0.67
-3.4,-3.85,0.479576,4.24
-2.3,-2.91,0.372114,4.01
-3.8,-4.16,0.553427,0.86
0,-0.35,0.565664,2.63
0,-0.79,0.276456,3.51
0,-0.17,0.760193,0.84
0,-0.95,0.214827,3.61
0,-0.05,0.916927,0.25
-0.1,-0.61,0.436554,1.96
-7.9,-8.37,0.462729,1.16
0,-0.6,0.375346,2.49
0,-0.25,0.671215,1.32
0,-0.4,0.524411,1.98
-1.2,-1.48,0.638944,1.15
-3.7,-4.09,0.532023,0.68
-0.3,-1.07,0.284882,3.81
-4.3,-4.31,0.984937,0.15
-1.9,-2.11,0.715713,0.95
-3.5,-3.54,0.943585,0.43
-2.4,-2.92,0.427604,2.62
-1.1,-1.69,0.382761,3.38
-2.8,-2.89,0.864697,0.61
-1.4,-1.54,0.799584,1.15
-0.2,-0.64,0.489882,2.1
-5.3,-5.36,0.902499,0.24
0,-0.46,0.476938,1.62
0,-0.11,0.834617,0.82
-2.6,-2.79,0.73031,1.1
0,-0.07,0.887842,0.48
0,-0.29,0.628618,1.89
-0.5,-0.98,0.459443,3.12
-1.4,-1.53,0.803917,1.37
-3.5,-3.89,0.527663,3.14
-1.8,-2.09,0.628139,3.15
-2.4,-2.76,0.558187,0.94
-1.5,-1.77,0.644212,2.25
-3,-3.03,0.948254,0.16
-0.4,-1.15,0.297107,3.11
-2,-2.63,0.36004,2.99
-7.4,-7.53,0.808116,0.32
-4.6,-4.81,0.716821,0.47
-6.4,-6.53,0.807,0.37
-2,-2.68,0.332898,4.62
-2,-2.28,0.632624,2.44
-0.3,-1.1,0.271256,4.43
-2.7,-3.05,0.566557,2.16
-1.9,-1.96,0.905517,0.46
0,-1.03,0.187522,4.41
-0.7,-0.89,0.734028,0.84
-0.7,-1.07,0.545008,2.68
-4.3,-4.67,0.545777,3.87
0,-0.02,0.969807,0.1
-0.5,-1.27,0.287766,4.79
-1.1,-1.71,0.372155,2.69
-2.6,-3.26,0.341591,5.56
-0.7,-1.27,0.398009,3.54
0,-0.11,0.838119,0.61
-0.1,-0.96,0.245929,3.21
-0.1,-0.58,0.460982,2.19
-4.1,-4.68,0.389562,1.49
-0.9,-1.81,0.229455,5.37
-2,-2.25,0.661758,1.04
0,-0.38,0.544146,2.08
0,-0.02,0.964885,0.11
0,-0.36,0.559823,1.75
0,-0.12,0.828997,0.69
-1.9,-2.01,0.833574,1.47
0,-0.39,0.53408,1.47
-1.8,-1.94,0.799245,1.03
-1.8,-1.97,0.755765,1.26
-5.5,-5.68,0.741052,0.43
-1.9,-1.98,0.882138,0.66
0,-0.05,0.923854,0.26
-2.4,-3.07,0.339537,5.24
-3.7,-4.11,0.51561,5
0,-1.23,0.135606,5.31
0,-0.22,0.701207,1.24
0,-0.1,0.851871,0.51
0,-0.73,0.305335,2.88
-1.1,-1.39,0.622139,2.44
0,-0.2,0.726842,0.87
0,-0.08,0.876904,0.43
0,-0.12,0.828057,0.56
-0.6,-1.84,0.13272,5.67
-3,-3.04,0.939137,0.29
-3,-3.26,0.65232,1.75
0,-0.11,0.835168,0.66
-1,-1.16,0.777026,1.15
-4.4,-4.52,0.822669,1.38
0,-0.14,0.794624,0.93
0,-0.38,0.544172,1.2
0,-0.85,0.252592,3.27
-2.7,-3.13,0.494706,1.27
-1.4,-2.02,0.367283,4.49
-0.1,-0.87,0.288945,2.39
-3.3,-3.51,0.712046,2.62
-1.9,-2.33,0.498841,1.74
-3.5,-3.53,0.946459,0.35
-2.2,-2.37,0.762704,0.98
-3.2,-3.76,0.401789,4.44
-0.1,-0.51,0.514355,1.08
-0.4,-1.02,0.368492,3.45
-3.5,-3.56,0.904428,0.73
0,-0.47,0.468161,2.63
-5.7,-5.95,0.667928,2.31
0,-0.26,0.652699,1.77
0,-0.64,0.35336,2.39
-2.4,-2.88,0.457918,4.71
-1.6,-2.07,0.464888,3.53
-2.4,-2.59,0.737541,1.47
-0.6,-0.87,0.649447,1.72
-0.2,-1.05,0.249865,4.13
-0.3,-1.22,0.226518,4.62
-0.8,-1.26,0.47541,2.5
0,-0.33,0.58685,1.67
0,-0.01,0.99148,0.02
-0.6,-1.47,0.242151,3.4
-2.3,-2.59,0.623529,0.69
0,-0.33,0.58553,1.63
0,-0.46,0.473625,2.7
