MFE,FETE,FMSE,ED
0,-0.15,0.785965,0.92
-4.5,-4.65,0.778491,2.13
-2.4,-3.08,0.331986,2.28
-2.5,-3.08,0.387836,1.85
0,-0.71,0.31774,2.95
-1.9,-2.75,0.251665,4.9
-2.9,-2.97,0.886121,0.68
-3.9,-3.99,0.869247,1.05
-0.3,-0.83,0.425947,1.92
-1,-1.19,0.734592,1.17
0,-0.14,0.794984,0.89
-2.9,-3.04,0.798708,0.62
0,-0.06,0.914434,0.26
-1.7,-2.19,0.450706,3.55
-0.3,-0.63,0.587257,1.05
-1.8,-2.09,0.626931,1.35
0,-0.01,0.984322,0.03
-2.9,-3.08,0.751583,1.95
-3.8,-4.17,0.549508,0.97
0,-0.3,0.61498,2.4
-2.4,-2.89,0.454289,2.92
-4.7,-4.83,0.813438,0.5
-2.6,-3.57,0.207284,5.13
-0.7,-1.26,0.400927,3.89
-4.9,-4.95,0.926154,0.51
-4.5,-4.66,0.771033,2.15
-0.4,-0.95,0.411723,3.33
-0.3,-0.96,0.341226,3.6
-3.7,-3.73,0.946118,0.54
-2.3,-2.43,0.812608,1.04
-2.5,-3.08,0.38776,1.86
-1.5,-1.61,0.829979,1.18
0,-0.21,0.712311,1.32
0,-0.15,0.784491,0.78
-0.3,-0.71,0.512424,1.75
-2.2,-2.4,0.72819,1.55
0,-0.19,0.740522,1.02
0,-0.76,0.292632,3.59
0,-0.1,0.844497,0.48
-0.4,-0.88,0.456193,2.99
0,-0.04,0.944386,0.19
-2.2,-2.26,0.91425,0.72
0,-0.02,0.97107,0.1
-4.9,-5.43,0.4265,4.34
0,-0.32,0.599299,1.86
-5.2,-5.23,0.958044,0.12
-2.9,-3.17,0.648178,0.78
-2.1,-2.38,0.631053,2.77
-0.3,-1.13,0.259618,2.55
-2.9,-3.43,0.421283,2.97
-1.3,-2.2,0.230398,3.93
-2.1,-2.32,0.700989,2.8
-1.2,-1.56,0.558565,3.5
-7.6,-7.7,0.843561,0.29
-3.8,-4.15,0.564838,1.59
-5,-5.04,0.93227,0.38
-0.3,-0.84,0.417833,1.98
-1.2,-1.65,0.480407,2.22
-3.6,-3.75,0.785519,1.95
-1,-1.69,0.328848,2.67
0,-0.08,0.881932,0.38
0,-0.19,0.73557,1.09
-1,-1.22,0.69514,1.41
-3.4,-3.41,0.980469,0.09
-3.1,-3.39,0.623975,2.26
0,-0.01,0.980812,0.04
-4.2,-4.23,0.948048,0.14
-0.8,-1.69,0.2371,4.06
-3.3,-3.84,0.418376,4.86
-1.6,-1.68,0.880045,0.58
-4.1,-5.22,0.161909,5.72
-0.7,-0.92,0.697231,1.05
-2.3,-3.07,0.288434,4.4
-0.3,-0.71,0.512491,1.9
0,-0.62,0.363817,3.69
-0.8,-1,0.721173,1.07
-3.9,-4.13,0.692703,2.75
-5.4,-5.51,0.842784,1.43
-1.8,-2.22,0.508791,3
-1.2,-1.81,0.370737,2.36
0,-0.66,0.345486,3.43
-2,-2.72,0.311531,3.28
-3.2,-3.23,0.952055,0.32
-0.6,-1.37,0.28813,2.36
0,-0.37,0.54457,2.1
-0.4,-0.91,0.434547,2.43
-2.1,-2.26,0.76874,0.92
-0.1,-0.75,0.348181,2.56
-0.2,-0.67,0.469291,1.57
0,-0.29,0.629282,1.2
-2.6,-2.81,0.714595,2.57
-1.5,-1.95,0.481042,2.94
-1.8,-2.1,0.618917,1.48
-4.2,-4.43,0.693378,1.03
-0.1,-0.81,0.315073,3.07
-3,-3.27,0.644465,4.5
-4.8,-5.07,0.642549,3.18
-2.1,-2.54,0.491817,3.45
-6.7,-6.79,0.865952,0.64
-0.2,-1.01,0.269132,3.69
-0.6,-1.4,0.274827,3.6
-0.8,-1.29,0.454159,3.1
0,-0.58,0.392163,3.12
0,-0.08,0.873074,0.48
-3.7,-3.75,0.919328,0.31
0,-0.17,0.754663,0.71
0,-1.01,0.194794,5.07
-4.4,-5.11,0.314778,6.6
-4.4,-4.93,0.423989,1.38
-6.4,-6.55,0.785948,0.59
-0.9,-1.29,0.5352,2.1
-0.8,-2.06,0.129249,4.66
0,-0.32,0.598014,1.58
-1.3,-2.05,0.294596,4.17
-0.4,-1.26,0.249711,4.08
0,-0.58,0.39096,2.56
0,-0.31,0.603125,1.71
-0.8,-1.26,0.476799,2.82
-3.2,-3.34,0.79256,0.4
-2.4,-3.06,0.341432,4.19
0,-1.02,0.191928,5.03
-3.3,-3.52,0.69753,0.73
-2.4,-2.92,0.426748,2.05
-1.8,-2.14,0.580098,1.43
-4.1,-4.14,0.931943,0.52
-4.5,-4.52,0.967174,0.32
-4.3,-4.37,0.899155,0.3
0,-0.14,0.798836,0.8
-2.9,-3.06,0.76828,1.16
-1.9,-2.31,0.511852,1.53
-3,-3.28,0.630026,2.93
-1.1,-1.25,0.789614,0.73
-2.2,-2.92,0.312997,4.18
-0.4,-0.97,0.397442,2.55
-1.8,-2.38,0.389505,3.41
0,-0.62,0.364389,2.28
-2.3,-2.71,0.511727,0.96
-1.4,-2.03,0.357096,3.13
-1.3,-2.15,0.251824,4.42
-1.2,-1.73,0.420476,4.18
0,-0.38,0.54045,1.57
0,-0.53,0.420564,1.97
-6.1,-6.27,0.757955,1.06
0,-0.78,0.281565,2.94
-4.1,-4.59,0.451877,3.92
-0.4,-1.36,0.210956,4.89
-2.6,-3.51,0.22947,4.98
-5,-5.1,0.846783,1.04
-1.5,-2.28,0.282981,2.73
-0.8,-1.23,0.500119,3.69
-1.9,-2.91,0.193236,2.74
0,-0.05,0.920816,0.28
-0.5,-1.14,0.356543,2.46
-0.4,-1.27,0.242956,3.86
-2.3,-2.54,0.678707,2.97
-0.2,-0.92,0.312813,3.69
-0.1,-1.15,0.182614,4.09
0,-0.89,0.234412,3.42
-2.7,-3.59,0.237065,4.12
-1.8,-2.51,0.318141,2.49
-0.9,-1.46,0.402558,2.09
-1,-1.49,0.451716,2.61
-9,-9,0.995108,0.01
-0.5,-1.22,0.313117,1.8
-0.4,-1.28,0.238601,3.66
-3.5,-3.88,0.543527,0.8
0,-0.99,0.199399,3.64
-2.7,-3.11,0.51098,2.17
-2.1,-2.29,0.728827,1.56
0,-0.62,0.365615,2.57
-3.3,-3.48,0.743868,1.41
-3.1,-3.53,0.494208,0.79
-3,-3.61,0.372637,2.98
-5.9,-6.04,0.792751,0.6
-1,-1.44,0.491212,2.33
-2,-2.24,0.677752,2.28
-2.5,-2.87,0.55073,3.06
-4.4,-4.81,0.51657,1.24
-3.5,-4.43,0.21948,2.43
-0.6,-1.21,0.373831,2.9
-4.5,-4.6,0.851771,0.39
-1.2,-1.51,0.601817,2.86
-1,-1.48,0.460174,1.42
-8.3,-8.31,0.980262,0.06
0,-0.34,0.575385,1.61
-5.2,-5.35,0.782981,0.59
0,-0.08,0.874474,0.51
0,-0.53,0.424566,2.41
-1.2,-1.5,0.616008,1.56
-0.6,-1.15,0.41019,3.85
-2.9,-3.16,0.650623,0.84
-3.7,-3.73,0.945075,0.55
-0.9,-1.44,0.417517,1.7
-5.8,-6.28,0.458316,0.97
0,-0.22,0.696952,1.35
-2.5,-2.83,0.58572,1.23
-0.7,-1.77,0.176266,5.16
0,-0.41,0.510847,2.44
0,-0.16,0.771816,1.32
0,-0.38,0.542006,2.39
-0.4,-1.22,0.263844,3.68
0,-0.07,0.891916,0.42
0,-0.06,0.911296,0.46
0,-0.27,0.64527,2.11
-1.5,-1.88,0.53606,3.33
-0.1,-0.94,0.255386,3.42
-0.4,-0.98,0.391401,3.16
-1.6,-1.87,0.64007,2.87
-0.1,-0.89,0.278408,4.32
-1.8,-2.26,0.474644,2.66
-1.3,-1.68,0.536655,2.24
0,-0.8,0.27267,3.01
0,-0.74,0.299359,3.42
-1.5,-2.13,0.360538,3.29
-4.9,-5.11,0.70879,0.59
-0.8,-1.79,0.200047,3.26
-0.7,-1.3,0.374711,2.69
0,-0.43,0.501289,2.64
-1.2,-1.81,0.373619,3.59
-2.1,-2.33,0.683365,2.24
-1.2,-1.69,0.450655,4.41
-2.7,-3.22,0.43053,4.07
-0.9,-1.15,0.670617,2.12
-2,-2.55,0.410011,2.25
-3.6,-3.7,0.845019,0.49
-5.6,-5.73,0.805804,0.35
0,-0.07,0.890572,0.38
-1.6,-1.91,0.605079,2.35
0,-0.02,0.97373,0.06
-2.6,-3.14,0.415833,2.98
