MFE,FETE,FMSE,ED
-5.1,-5.48,0.544178,5.88
-1.9,-1.97,0.893347,0.58
-4.1,-4.5,0.520549,1.48
-2.7,-2.78,0.873569,0.88
0,-0.52,0.428822,3.01
0,-0.13,0.807637,0.94
0,-0.62,0.367532,2.14
0,-0.39,0.527002,2.28
-2.4,-2.58,0.748729,1.55
-1,-1.49,0.454197,3.39
0,-0.1,0.85328,0.41
-0.5,-1.5,0.196706,5.48
0,-0.09,0.863807,0.46
0,-0.61,0.373778,2.73
-4.7,-4.81,0.830821,1.63
0,-0.61,0.371574,3.24
0,-0.08,0.88413,0.45
-3.9,-4.02,0.820832,0.46
-3.6,-3.61,0.985198,0.07
-1.9,-2.41,0.440453,2.2
0,-0.14,0.794512,0.79
-3.4,-4.01,0.370762,5.79
-1.9,-2.28,0.542774,3.14
-4.1,-4.79,0.327471,1.55
-2.9,-2.92,0.974152,0.14
0,-0.47,0.465889,2.12
-4.7,-4.73,0.960102,0.2
0,-0.37,0.552841,1.5
-1.6,-2.24,0.352273,3.84
-0.6,-0.87,0.643806,2.06
-2,-2.13,0.807957,1.04
0,-0.05,0.917029,0.28
-3.8,-4.1,0.619589,1.09
-2,-2.19,0.734566,1.16
0,-0.46,0.477124,1.33
-8.4,-8.43,0.949246,0.13
-0.3,-0.9,0.379271,2.2
0,-0.49,0.449187,2.54
-1.3,-1.95,0.34564,2.78
-2.7,-3.12,0.508101,4.49
-4.2,-4.67,0.46356,4.01
-4.4,-4.52,0.818293,0.9
0,-0.82,0.264264,3.19
-2.8,-3.63,0.258895,3.84
-5.7,-6.23,0.426562,5.6
0,-0.29,0.619717,1.43
-0.9,-1.35,0.48156,3.17
-1.9,-2.71,0.270821,4.67
-0.4,-1.12,0.312262,2.41
-1.9,-2.42,0.432481,2.52
0,-0.21,0.710386,0.88
-3.2,-3.86,0.344579,3.56
-0.8,-1.39,0.382924,3.72
-2.9,-3.49,0.385129,3.66
-0.9,-1.17,0.649585,2.24
0,-0.13,0.812568,0.66
-5.7,-5.83,0.810231,0.58
0,-0.91,0.228915,3.69
-4.4,-4.47,0.896771,0.27
-4.3,-4.31,0.986821,0.04
-1.7,-1.95,0.662299,1.18
-5,-5.29,0.624245,3.31
-2.7,-3.03,0.584928,1.96
-3.5,-3.88,0.537936,1.11
-2.6,-3.08,0.455252,0.81
-0.6,-1.05,0.479528,2.92
-0.7,-1.3,0.378142,2.53
-0.4,-0.8,0.525633,2.02
-6.7,-6.82,0.822264,0.31
0,-0.44,0.490014,2.12
-0.3,-0.69,0.530145,1.51
