MFE,FETE,FMSE,ED
0,-0.62,0.366516,1.98
-1.2,-1.61,0.515138,3.12
0,-0.41,0.515016,2.15
-2.2,-2.3,0.852533,0.44
0,-0.48,0.457618,2.06
0,-0.8,0.273301,4.13
0,-0.14,0.796396,1.17
-2.4,-3.12,0.313104,5.58
-0.8,-1.35,0.412365,1.35
-0.9,-1.78,0.23844,5.09
-5.1,-5.15,0.928303,0.21
-4.8,-4.84,0.93269,0.78
-2.9,-3.34,0.491597,0.93
0,-0.62,0.365714,3.22
0,-0.31,0.60209,1.74
0,-0.75,0.29849,4.15
-0.7,-1.14,0.490084,2.22
-3.5,-4.18,0.329764,1.67
-0.2,-1.03,0.258176,2.49
-4.4,-4.74,0.579812,3.64
-1.7,-2.15,0.485055,2.07
-1.1,-1.32,0.699546,1.23
-1.4,-2.15,0.296663,4.45
0,-0.72,0.310117,3.17
0,-0.14,0.802648,0.82
-2.2,-2.52,0.592654,1.61
0,-0.29,0.626599,1.68
0,-0.21,0.712835,1.16
-1.2,-2.02,0.262904,5.53
-3.1,-3.42,0.596703,3.02
-6.2,-6.22,0.96501,0.18
-0.8,-1.04,0.675028,1.93
0,-0.61,0.369258,2.82
-2.1,-2.3,0.725515,1.38
-1.2,-1.42,0.696832,1.18
-3.8,-4.42,0.366664,3.16
-3.4,-3.95,0.412663,3.97
0,-0.37,0.54855,1.83
-2.9,-3.14,0.680324,2.71
0,0,0.998106,0
0,-0.99,0.201778,3.75
-4.1,-4.24,0.797138,0.41
-1.3,-1.66,0.555641,3.59
0,-0.12,0.817075,0.64
-5.3,-5.46,0.77047,0.81
-2.9,-3.2,0.612634,3.44
-2.2,-2.87,0.337937,3.32
0,-0.05,0.92935,0.15
-1.6,-2.23,0.357535,4.57
-4.5,-4.93,0.493762,1.29
0,-0.31,0.609571,1.31
-5.4,-5.69,0.619884,1.05
0,-0.39,0.531555,1.51
-1.1,-1.87,0.287743,3.74
-3.2,-3.9,0.321466,3.32
-2.7,-3.01,0.609635,2.43
-1.2,-1.89,0.327335,4.33
-4.9,-4.92,0.974764,0.05
-3.3,-4.16,0.246626,4.87
-8.4,-8.45,0.92488,0.29
0,-0.16,0.776387,0.76
-2.5,-2.77,0.641333,2.37
-5.1,-5.26,0.770645,0.74
-1.7,-2.01,0.60626,3.27
-1.8,-2.19,0.528683,2.85
-2.2,-2.41,0.7092,1.1
-0.7,-1.28,0.39315,2.64
-2.5,-2.89,0.535052,3.38
-0.9,-1.55,0.347327,3.71
-5.8,-5.82,0.965423,0.1
0,-0.41,0.517152,1.5
-4.9,-4.96,0.903805,0.45
-0.6,-0.98,0.541284,2.05
0,-0.83,0.262014,3.36
-0.6,-1.11,0.437382,2.68
-0.1,-1.06,0.210297,3.63
-1.3,-1.76,0.472245,3.23
-0.3,-1.1,0.272736,4.15
-0.6,-1.23,0.359,2.65
-3.9,-4.32,0.50312,0.67
-3,-3.68,0.332787,3.92
0,-0.53,0.421813,2.32
0,-0.56,0.403069,2.48
-4,-4.16,0.769989,1.52
-2.2,-2.72,0.427716,2.22
-0.1,-0.8,0.322904,2.96
-2,-2.52,0.430703,1.82
-0.5,-1.2,0.323609,3.96
-1.9,-2.34,0.487728,2.3
-1.5,-1.72,0.696616,2.78
-3,-3.54,0.413172,4.4
-2.1,-2.19,0.865565,0.82
-4.4,-4.44,0.943688,0.19
0,-0.49,0.448573,2.97
-1.7,-1.75,0.919716,0.43
0,-0.45,0.484984,2.48
0,-0.54,0.416062,2.02
-1.2,-1.56,0.561734,3.17
-0.4,-0.89,0.454356,2.11
-5.8,-5.85,0.923088,0.69
-2.5,-2.79,0.629664,1
-2.2,-2.53,0.584902,1.99
-2,-2.32,0.59581,3.14
-3.7,-4.3,0.380773,3.14
-4.4,-4.41,0.982437,0.07
-0.1,-0.97,0.243644,3.32
0,-0.56,0.404273,2.25
-2,-2.05,0.925315,0.54
0,-0.23,0.690003,1.03
-0.6,-0.96,0.55944,1.64
-2.1,-2.47,0.545183,2.32
