MFE,FETE,FMSE,ED
0,-0.3,0.616609,1.46
-2.4,-2.72,0.592808,1.22
0,-0.72,0.310851,3.79
-1.5,-1.6,0.856734,0.86
0,-0.4,0.518448,1.97
0,-0.13,0.813996,0.63
0,-0.56,0.403702,1.87
-4.3,-4.51,0.715764,1.83
-5.8,-5.93,0.81436,0.34
-0.5,-1.26,0.289027,3.68
0,-0.72,0.312105,3.87
-1.7,-2.36,0.340815,4.89
0,-0.64,0.355117,2.23
-3.2,-3.87,0.338577,1.35
-6.2,-6.25,0.915681,0.27
-4.5,-5.3,0.27123,4.66
0,-0.19,0.735149,0.97
-1.1,-1.55,0.482081,4.16
-2.6,-3.34,0.299215,5.57
0,-0.03,0.945323,0.2
-1.4,-2.23,0.260546,5.96
0,-0.83,0.261091,3.35
-2,-2.66,0.340784,4.8
-0.7,-1.29,0.381643,3.63
-4.6,-4.65,0.915596,0.28
-2.6,-3.14,0.415912,3.45
-0.4,-1.16,0.289869,2.79
-2,-2.21,0.715083,1.52
-2.4,-2.74,0.57401,2.83
0,-0.58,0.392547,2.72
-5.2,-5.29,0.866309,1.23
-1,-1.34,0.578174,2.79
-0.9,-1.3,0.519968,2.3
0,-0.78,0.281738,3.17
-5.3,-5.48,0.752455,0.86
-1.5,-1.89,0.531009,2.93
-0.6,-1.19,0.382186,3.94
-1.7,-2.56,0.246797,4.83
-8.2,-8.21,0.980727,0.08
-2.7,-2.84,0.793679,1.58
-4.4,-4.43,0.953158,0.21
-0.7,-1.4,0.320544,4.17
-1.2,-1.56,0.55845,2.32
-0.6,-1.48,0.238572,4.66
-1.8,-2.06,0.659542,1.01
-2.1,-2.33,0.694074,1.95
-0.9,-1.34,0.493391,2.84
-2.9,-3.53,0.361559,3.73
0,-0.36,0.556756,2.33
-2.9,-3.02,0.819272,1.45
-0.7,-1.42,0.309038,2.63
-5.2,-5.22,0.965391,0.11
-0.8,-1.19,0.535425,1.91
0,-0.37,0.550451,1.57
-0.9,-1.52,0.366177,2.64
-2.2,-2.86,0.340209,2.09
-2.2,-2.27,0.898593,0.79
-2.2,-2.26,0.907339,0.47
-0.7,-1.2,0.447459,3.26
-0.3,-1.02,0.308663,3.02
-1.9,-2.82,0.223834,5.06
-0.9,-1.69,0.275584,3.02
-7.2,-7.21,0.984713,0.04
-3,-3.21,0.707623,1.07
-2.2,-2.36,0.766708,1.25
-3.4,-3.93,0.420642,3.68
-0.6,-0.87,0.649103,1.64
-2.1,-2.88,0.280366,2.88
-5.1,-5.12,0.969516,0.06
-2.5,-2.64,0.799997,0.51
-1.5,-1.77,0.645859,1.55
-6.2,-6.25,0.919304,0.26
-2.9,-2.97,0.895976,0.45
0,-1.03,0.187717,4.74
-5.7,-6.06,0.554657,1.62
-3.4,-4.18,0.279885,2.66
-4.6,-5.3,0.321758,3.94
-0.5,-0.89,0.529286,2.13
0,-0.28,0.633946,1.1
-1.5,-1.6,0.850345,0.58
0,-0.3,0.612863,1.44
-0.7,-1.69,0.199663,2.74
-5.3,-5.58,0.638889,4.35
-2.7,-3.42,0.30893,5.63
-3.5,-4.26,0.291497,2.81
-2.1,-2.39,0.623893,3.95
-0.6,-1.46,0.24748,5.05
-2,-2.79,0.277329,5.21
-0.1,-1.14,0.185843,3.49
0,-0.35,0.562328,1.49
-6.1,-6.13,0.950849,0.13
-1.7,-1.88,0.742759,1.35
-0.3,-1.6,0.121896,5.05
-3.4,-3.54,0.79058,0.63
-3.8,-4,0.725687,0.92
-1.2,-1.82,0.365419,3.47
-3.9,-4.3,0.52483,1.08
-2,-2.07,0.886834,0.74
-1.9,-2.3,0.524805,4.49
-3.9,-4.29,0.533328,2.35
-2.5,-2.6,0.846174,1
-1.8,-2.14,0.580105,2.99
