MFE,FETE,FMSE,ED
-1.4,-1.9,0.44652,2.83
-1.7,-1.85,0.780123,1.08
0,-0.49,0.450093,2.95
-0.3,-1.03,0.304827,3.44
0,-0.1,0.846287,0.42
0,-0.63,0.361309,2.69
-2.8,-3.28,0.457137,0.98
-1.7,-2.11,0.511403,3.29
-4,-4.04,0.939796,0.15
0,-0.64,0.351284,3.62
-1.4,-1.69,0.623849,0.9
-2.8,-3.36,0.40539,1.01
-2.3,-2.78,0.46033,1.61
0,-0.2,0.726864,1.14
0,-0.26,0.655127,2.16
0,-0.49,0.450125,2.15
-1.7,-2.06,0.557228,2.3
-1.6,-2.11,0.439989,4.24
-0.2,-0.66,0.473426,2.13
0,-0.26,0.652183,1.74
0,-0.13,0.81531,0.91
-2,-2.29,0.627496,2.75
-4.5,-4.56,0.912829,0.43
-0.3,-0.85,0.412635,2.61
-0.3,-1.38,0.174124,4.74
-0.2,-0.76,0.405447,2.46
0,-0.28,0.636726,1.62
0,-0.5,0.441335,2.39
-3.1,-3.59,0.45051,0.94
-3.4,-3.45,0.919393,0.37
-3.3,-3.64,0.572773,1.11
-0.4,-1.14,0.299557,3.77
0,-0.04,0.932554,0.35
-6.8,-6.85,0.917192,1.15
0,-0.48,0.460572,1.97
0,-0.05,0.925609,0.2
0,-0.37,0.552308,1.59
-1.9,-2.67,0.288908,4.97
-3.5,-3.63,0.803967,0.47
-6.3,-6.3,0.995652,0.02
0,-0.53,0.422086,3.18
-1.7,-1.82,0.823146,1.17
0,-0.4,0.524554,1.17
0,-0.63,0.361721,3.34
-4,-4.03,0.952197,0.23
-3.4,-3.72,0.59035,3.69
0,-0.6,0.378975,2.69
0,-0.39,0.534421,1.23
-0.1,-0.87,0.287026,3.82
-1.7,-2.07,0.545322,4.23
