Sequence	Average_ProT	Average_HelT	Average_MGW	Average_Roll
seq1	-6.69578947368421	34.09	5.03947368421053	-0.7865
seq2	-4.74263157894737	33.8985	5.24947368421053	-0.4135
seq3	-6.38157894736842	34.415	4.89315789473684	-1.096
seq4	-6.69263157894737	34.0935	5.23315789473684	-0.2975
seq5	-4.9921052631579	33.9505	5.10421052631579	-0.8995
seq6	-4.53736842105263	33.951	5.13421052631579	-0.691
seq7	-8.51842105263158	34.5015	5.12421052631579	-0.6725
seq8	-5.50210526315789	34.361	4.89631578947368	-1.626
seq9	-5.73578947368421	34.1715	5.03842105263158	-0.739
seq10	-6.35894736842105	34.094	5.04157894736842	-0.635
seq11	-7.06789473684211	34.4435	5.07157894736842	-0.4625
seq12	-7.11842105263158	34.1135	5.13105263157895	-0.595
seq13	-6.21	34.241	5.13842105263158	-0.856
seq14	-5.29105263157895	34.0115	5.06684210526316	-1.0875
seq15	-6.21473684210526	34.015	5.1	-0.5175
seq16	-6.63105263157895	34.344	5.06736842105263	-0.7205
seq17	-5.80947368421053	34.053	4.93263157894737	-1.275
seq18	-6.88684210526316	34.3435	5.07526315789474	-0.55
seq19	-4.99263157894737	34.121	5.10105263157895	-0.9075
seq20	-6.38	34.217	5.08210526315789	-0.957
seq21	-5.35105263157895	34.137	5.28578947368421	-0.00799999999999994
seq22	-6.00578947368421	34.09	5.25894736842105	-0.2535
seq23	-4.51210526315789	33.919	5.16052631578947	-0.7845
seq24	-7.87	34.6365	4.93052631578947	-0.9575
seq25	-6.89736842105263	34.266	4.98842105263158	-1.1635
seq26	-6.01842105263158	34.1545	5.29736842105263	0.0885
seq27	-7.93473684210526	34.826	4.78684210526316	-1.594
seq28	-5.63631578947368	33.9435	5.18157894736842	-0.1425
seq29	-7.58894736842105	34.29	5.25736842105263	-0.073
seq30	-5.77842105263158	33.9775	5.06789473684211	-0.742
seq31	-6.31210526315789	34.128	5.05052631578947	-0.9605
seq32	-4.62631578947368	33.8295	5.21473684210526	-0.4365
seq33	-5.00421052631579	33.855	5.16157894736842	-0.874
seq34	-5.00947368421053	34.0045	5.30789473684211	-0.00499999999999996
seq35	-4.55	34.0225	4.94157894736842	-1.398
seq36	-5.76842105263158	34.1725	5.04473684210526	-1.1015
seq37	-5.89789473684211	34.081	5.10315789473684	-0.74
seq38	-4.93263157894737	34.071	4.91210526315789	-1.548
seq39	-5.23631578947368	34.1965	5.14789473684211	-0.3745
seq40	-5.9921052631579	34.3265	4.96947368421053	-0.9595
seq41	-7.69	34.515	4.88684210526316	-1.29
seq42	-7.40105263157895	34.4955	5.01736842105263	-1.119
seq43	-6.25052631578947	34.2965	5.10263157894737	-0.4655
seq44	-5.03789473684211	33.872	5.30684210526316	-0.1155
seq45	-6.53789473684211	33.8475	5.29473684210526	-0.2505
seq46	-4.91894736842105	33.7975	5.17736842105263	-0.69
seq47	-5.46842105263158	34.214	4.94526315789474	-1.3885
seq48	-6.11263157894737	34.2745	5.34473684210526	0.0905
seq49	-4.94368421052632	34.0895	5.18578947368421	-0.764
seq50	-5.56684210526316	34.278	5.03052631578947	-1.1855
seq51	-6.29842105263158	34.2135	5.12526315789474	-0.4775
seq52	-6.49947368421053	34.204	5.31473684210526	0.2345
seq53	-5.54578947368421	33.993	5.06789473684211	-0.746
