Sequence	Average_ProT	Average_HelT	Average_MGW	Average_Roll
seq1	-7.94421052631579	34.212	5.30421052631579	-0.0955
seq2	-6.79684210526316	34.1875	5.14263157894737	-0.6955
seq3	-6.70526315789474	34.256	5.05421052631579	-0.813
seq4	-5.55684210526316	34.21	4.99105263157895	-1.467
seq5	-5.77052631578947	34.1265	5.11578947368421	-0.718
seq6	-8.27473684210526	34.8065	4.76789473684211	-1.58
seq7	-7.01052631578947	34.157	5.09684210526316	-0.755
seq8	-6.07157894736842	34.085	5.27578947368421	-0.1535
seq9	-5.95105263157895	34.181	5.13263157894737	-0.713
seq10	-7.89105263157895	34.426	5.23947368421053	0.0375
seq11	-6.61368421052632	34.181	5.17894736842105	-0.4315
seq12	-6.73473684210526	34.3895	5.00526315789474	-0.974
seq13	-6.55947368421053	34.06	5.15315789473684	-0.638
seq14	-6.29052631578947	34.398	4.92684210526316	-1.6515
seq15	-5.53947368421053	33.9455	5.14052631578947	-0.7175
seq16	-5.59631578947368	34.441	5.12578947368421	-0.6585
seq17	-6.39421052631579	34.152	5.08473684210526	-0.997
seq18	-7.42368421052632	34.4625	5.08368421052632	-0.8445
seq19	-4.66052631578947	34.0305	5.13210526315789	-0.9055
seq20	-6.67263157894737	34.2775	4.99315789473684	-1.17
seq21	-7.50157894736842	34.457	5.29157894736842	0.108
seq22	-7.91263157894737	34.678	4.88368421052632	-1.5235
seq23	-5.57526315789474	34.1685	5.19368421052632	-0.6395
seq24	-7.75473684210526	34.7485	4.71947368421053	-1.669
seq25	-5.60578947368421	34.059	5.20947368421053	-0.32
seq26	-5.15263157894737	34.0845	5.22526315789474	-0.5535
seq27	-6.32789473684211	34.24	5.13736842105263	-0.5655
seq28	-7.88684210526316	34.4765	5.22631578947368	0.102
seq29	-6.49	34.2205	5.17157894736842	-0.641
seq30	-7.55947368421053	34.1885	5.12263157894737	-0.3355
seq31	-4.56789473684211	34.01	5.00947368421053	-1.478
seq32	-6.69	34.223	5.16473684210526	-0.3195
seq33	-5.57631578947368	34.178	4.98894736842105	-1.1785
seq34	-5.81947368421053	34.2845	4.95473684210526	-1.2475
seq35	-6.05789473684211	34.166	5.19473684210526	-0.3425
seq36	-5.23421052631579	34.1125	5.22052631578947	-0.2585
seq37	-5.5321052631579	34.157	4.98473684210526	-1.0705
seq38	-5.42105263157895	34.1415	5.12526315789474	-0.4555
seq39	-6.07526315789474	34.3245	5.09421052631579	-0.859
seq40	-4.7578947368421	34.0245	4.96157894736842	-1.493
seq41	-5.87473684210526	33.965	5.09263157894737	-0.92
seq42	-5.93263157894737	34.0535	5.09263157894737	-0.925
seq43	-6.27578947368421	34.2995	4.87315789473684	-1.435
seq44	-5.64842105263158	34.232	5.16578947368421	-0.652
seq45	-6.86315789473684	34.585	4.92947368421053	-1.3205
seq46	-6.42368421052632	34.31	5.15052631578947	-0.78
seq47	-7.55368421052632	34.638	4.98105263157895	-0.7595
seq48	-5.71947368421053	34.244	5.11421052631579	-0.867
seq49	-6.91052631578947	33.9415	5.28421052631579	-0.257
seq50	-7.18	33.933	5.22684210526316	-0.4825
seq51	-8.96894736842105	34.8025	4.94631578947368	-1.0135
seq52	-5.74789473684211	34.2175	5.09894736842105	-0.8165
seq53	-6.27578947368421	34.1335	5.10210526315789	-1.0195
seq54	-5.51631578947368	34.053	5.00736842105263	-1.052
seq55	-5.93105263157895	34.0025	5.18210526315789	-0.667
seq56	-6.60315789473684	34.3615	4.91842105263158	-1.0665
seq57	-5.91210526315789	34.132	4.93473684210526	-1.394
seq58	-5.51842105263158	34.1255	4.93789473684211	-1.172
seq59	-7.51315789473684	34.2515	5.25210526315789	-0.2635
seq60	-7.12368421052632	34.2645	5.14052631578947	-0.19
seq61	-4.18526315789474	34.031	5.17421052631579	-0.752
seq62	-9.04631578947368	34.812	4.97526315789474	-0.767
seq63	-5.16631578947368	34.0555	4.91736842105263	-1.5905
seq64	-6.43526315789474	34.2225	5.14684210526316	-0.354
seq65	-5.27842105263158	34.1275	5.13105263157895	-0.784
seq66	-5.70473684210526	34.1725	5.07105263157895	-0.699
