Sequence	Average_ProT	Average_HelT	Average_MGW	Average_Roll
seq1	-4.76157894736842	34.1165	5.22526315789474	-0.3425
seq2	-6.69578947368421	34.09	5.03947368421053	-0.7865
seq3	-4.74263157894737	33.8985	5.24947368421053	-0.4135
seq4	-6.38157894736842	34.415	4.89315789473684	-1.096
seq5	-6.69263157894737	34.0935	5.23315789473684	-0.2975
seq6	-4.9921052631579	33.9505	5.10421052631579	-0.8995
seq7	-4.53736842105263	33.951	5.13421052631579	-0.691
seq8	-8.51842105263158	34.5015	5.12421052631579	-0.6725
seq9	-5.50210526315789	34.361	4.89631578947368	-1.626
seq10	-5.73578947368421	34.1715	5.03842105263158	-0.739
seq11	-6.35894736842105	34.094	5.04157894736842	-0.635
seq12	-7.06789473684211	34.4435	5.07157894736842	-0.4625
seq13	-7.11842105263158	34.1135	5.13105263157895	-0.595
seq14	-6.21	34.241	5.13842105263158	-0.856
seq15	-5.29105263157895	34.0115	5.06684210526316	-1.0875
seq16	-6.21473684210526	34.015	5.1	-0.5175
seq17	-6.63105263157895	34.344	5.06736842105263	-0.7205
seq18	-5.80947368421053	34.053	4.93263157894737	-1.275
seq19	-6.88684210526316	34.3435	5.07526315789474	-0.55
seq20	-4.99263157894737	34.121	5.10105263157895	-0.9075
seq21	-6.38	34.217	5.08210526315789	-0.957
seq22	-5.35105263157895	34.137	5.28578947368421	-0.00799999999999994
seq23	-6.00578947368421	34.09	5.25894736842105	-0.2535
seq24	-4.51210526315789	33.919	5.16052631578947	-0.7845
seq25	-7.87	34.6365	4.93052631578947	-0.9575
seq26	-6.89736842105263	34.266	4.98842105263158	-1.1635
seq27	-7.16894736842105	34.4715	5.23105263157895	-0.3895
seq28	-7.93473684210526	34.826	4.78684210526316	-1.594
seq29	-5.63631578947368	33.9435	5.18157894736842	-0.1425
seq30	-7.58894736842105	34.29	5.25736842105263	-0.073
seq31	-5.77842105263158	33.9775	5.06789473684211	-0.742
seq32	-6.31210526315789	34.128	5.05052631578947	-0.9605
seq33	-4.62631578947368	33.8295	5.21473684210526	-0.4365
seq34	-5.00421052631579	33.855	5.16157894736842	-0.874
seq35	-5.00947368421053	34.0045	5.30789473684211	-0.00499999999999996
seq36	-4.55	34.0225	4.94157894736842	-1.398
seq37	-5.76842105263158	34.1725	5.04473684210526	-1.1015
seq38	-5.89789473684211	34.081	5.10315789473684	-0.74
seq39	-4.93263157894737	34.071	4.91210526315789	-1.548
seq40	-5.23631578947368	34.1965	5.14789473684211	-0.3745
seq41	-5.9921052631579	34.3265	4.96947368421053	-0.9595
seq42	-7.69	34.515	4.88684210526316	-1.29
seq43	-7.40105263157895	34.4955	5.01736842105263	-1.119
seq44	-6.25052631578947	34.2965	5.10263157894737	-0.4655
seq45	-5.03789473684211	33.872	5.30684210526316	-0.1155
seq46	-6.53789473684211	33.8475	5.29473684210526	-0.2505
seq47	-4.91894736842105	33.7975	5.17736842105263	-0.69
seq48	-5.46842105263158	34.214	4.94526315789474	-1.3885
seq49	-6.11263157894737	34.2745	5.34473684210526	0.0905
seq50	-4.94368421052632	34.0895	5.18578947368421	-0.764
seq51	-5.56684210526316	34.278	5.03052631578947	-1.1855
seq52	-6.29842105263158	34.2135	5.12526315789474	-0.4775
seq53	-6.49947368421053	34.204	5.31473684210526	0.2345
seq54	-5.54578947368421	33.993	5.06789473684211	-0.746
seq55	-7.02315789473684	34.3075	5.20736842105263	-0.312
seq56	-7.09526315789474	34.142	5.14263157894737	-0.1855
seq57	-4.44631578947368	33.8665	5.14684210526316	-0.6175
seq58	-5.61473684210526	34.059	5.30052631578947	-0.1475
seq59	-5.30736842105263	33.9435	5.13052631578947	-0.863
seq60	-5.28105263157895	34.1215	5.18578947368421	-0.42
seq61	-5.51105263157895	34.0485	5.22842105263158	-0.258
seq62	-6.04052631578947	34.478	5.00368421052632	-0.9945
seq63	-4.69578947368421	33.877	5.06894736842105	-0.9155
seq64	-5.00210526315789	34.0745	5.30157894736842	-0.1215
seq65	-7.40052631578947	34.2295	5.21052631578947	-0.4325
seq66	-5.39315789473684	34.151	4.93736842105263	-1.474
seq67	-6.17736842105263	34.2595	5.29105263157895	0.2565
seq68	-6.65894736842105	34.2945	5.04421052631579	-0.7805
seq69	-5.31052631578947	34.0595	5.07421052631579	-0.9425
seq70	-6.70947368421053	34.397	5.03421052631579	-0.5755
seq71	-6.73842105263158	34.252	5.16789473684211	-0.479
seq72	-6.13052631578947	33.9825	5.07368421052632	-1.302
seq73	-5.65473684210526	34.16	5.0478947368421	-0.8425
seq74	-7.43684210526316	34.502	5.02473684210526	-0.698
seq75	-5.84789473684211	33.944	5.17210526315789	-0.362
