Sequence	Average_ProT	Average_HelT	Average_MGW	Average_Roll
seq1	-6.22736842105263	33.974	5.26894736842105	0.0645
seq2	-7.58421052631579	34.151	5.11631578947368	-0.717
seq3	-5.59842105263158	34.076	5.16473684210526	-0.359
seq4	-5.27263157894737	34.0545	5.00894736842105	-1.2845
seq5	-7.94631578947368	34.1775	5.21105263157895	-0.107
seq6	-6.18473684210526	33.9795	5.14	-0.367
seq7	-6.03526315789474	34.2085	5.21631578947368	-0.221
seq8	-5.34105263157895	33.958	5.11631578947368	-0.388
seq9	-5.98368421052632	34.1235	5.19526315789474	-0.233
seq10	-5.58947368421053	34.179	5.19789473684211	-0.326
seq11	-5.34473684210526	33.932	5.17263157894737	-0.538
seq12	-6.4021052631579	34.0465	5.09052631578947	-0.5475
seq13	-9.34842105263158	35.031	4.64315789473684	-1.853
seq14	-6.50157894736842	34.2275	5.16210526315789	-0.314
seq15	-7.33368421052632	34.3825	4.95526315789474	-0.804
seq16	-6.87894736842105	34.2135	5.02947368421053	-0.8795
seq17	-6.54473684210526	34.022	5.14526315789474	-0.7425
seq18	-7.04947368421053	34.283	5.03789473684211	-0.726
seq19	-6.60473684210526	34.154	4.99736842105263	-1.125
seq20	-6.67368421052632	34.143	5.16631578947368	-0.4085
seq21	-6.77368421052632	34.212	5.03	-1.023
seq22	-7.28473684210526	34.155	5.18	0.00649999999999995
seq23	-7.84210526315789	34.5435	5.04263157894737	-0.471
seq24	-4.87631578947368	33.819	5.16947368421053	-0.6595
seq25	-7.14263157894737	34.497	4.81368421052632	-1.4205
seq26	-7.85631578947368	34.479	5.02578947368421	-0.572
seq27	-8.68368421052632	35.051	4.75684210526316	-1.347
seq28	-7.94842105263158	34.4685	5.18473684210526	-0.3445
seq29	-7.54052631578947	34.249	5.17473684210526	-0.1115
seq30	-5.45473684210526	34.173	5.25315789473684	-0.0715
seq31	-5.2821052631579	34.139	5.0321052631579	-1.3105
seq32	-5.95526315789474	34.064	5.15526315789474	-0.668
seq33	-5.78052631578947	33.7385	5.31894736842105	0.064
seq34	-7.40473684210526	34.3465	4.90684210526316	-1.3495
seq35	-7.16947368421053	34.256	5.18263157894737	-0.5195
seq36	-6.24315789473684	34.0225	5.10842105263158	-0.864
seq37	-7.51368421052632	34.5975	4.87263157894737	-1.3345
seq38	-6.67368421052632	34.3425	5.15421052631579	-0.277
seq39	-7.30947368421053	34.3295	4.95052631578947	-1.0985
seq40	-5.96526315789474	33.8935	5.18	-0.3845
seq41	-7.26368421052632	34.412	5.00526315789474	-0.987
seq42	-5.85421052631579	33.5135	5.28894736842105	-0.298
seq43	-6.20052631578947	34.018	5.25210526315789	-0.0745
seq44	-8.10421052631579	34.38	5.19157894736842	0.1535
seq45	-6.02578947368421	33.906	5.30210526315789	0.1635
seq46	-6.76210526315789	34.506	4.91421052631579	-1.482
seq47	-8.19473684210526	34.418	4.98421052631579	-0.5535
seq48	-8.12947368421053	34.726	5.00578947368421	-0.5695
seq49	-5.46947368421053	33.9835	4.97473684210526	-1.021
seq50	-8.79	34.772	4.87157894736842	-1.168
seq51	-8.07473684210526	34.258	5.06157894736842	-0.4155
seq52	-6.79473684210526	34.29	4.88736842105263	-1.504
seq53	-6.59631578947368	34.226	5.18736842105263	-0.11
seq54	-6.70526315789474	34.3015	5.04578947368421	-0.893
seq55	-4.61105263157895	34.0745	4.79315789473684	-2.1835
seq56	-5.26421052631579	34.033	5.18368421052632	-0.761
seq57	-7.42736842105263	34.3775	4.95105263157895	-1.1325
seq58	-7.29368421052632	34.3	5.20631578947368	-0.0055
seq59	-7.17473684210526	34.3485	5.07157894736842	-0.556
seq60	-6.94210526315789	34.3565	5.08052631578947	-0.491
seq61	-5.64157894736842	34.1205	5.17105263157895	-0.389
seq62	-6.46157894736842	34.15	5.17473684210526	-0.4315
seq63	-8.00473684210526	34.2175	5.20421052631579	-0.271
seq64	-7.24684210526316	34.224	5.04684210526316	-0.873
seq65	-7.52684210526316	34.275	5.04210526315789	-0.9545
seq66	-6.21315789473684	34.276	4.88473684210526	-1.3805
seq67	-7.62157894736842	34.623	4.86842105263158	-1.2345
seq68	-7.6921052631579	34.3745	4.96736842105263	-0.706
seq69	-6.85	34.1565	5.08684210526316	-0.668
seq70	-4.97315789473684	33.903	5.12631578947368	-0.631
seq71	-4.14473684210526	33.8885	4.88631578947368	-1.74
seq72	-3.90263157894737	33.9505	4.99052631578947	-1.318
