Sequence	Average_ProT	Average_HelT	Average_MGW	Average_Roll
seq1	-8.53052631578947	34.684	4.90368421052632	-0.9175
seq2	-6.65736842105263	34.212	5.19789473684211	-0.2975
seq3	-8.80526315789474	34.859	4.78368421052632	-1.669
seq4	-7.28684210526316	34.656	4.97315789473684	-1.148
seq5	-6.06210526315789	34.1385	5.16263157894737	-0.2675
seq6	-7.60473684210526	34.5035	5.03578947368421	-0.6005
seq7	-7.23315789473684	34.2855	5.09736842105263	-0.457
seq8	-5.72263157894737	34.2595	4.95789473684211	-1.3595
seq9	-5.08	33.9885	5.10736842105263	-0.733
seq10	-6.25210526315789	34.2365	5.11578947368421	-0.635
seq11	-5.80210526315789	34.015	5.09473684210526	-0.8705
seq12	-5.39631578947368	34.2645	5.08842105263158	-0.8225
seq13	-6.80789473684211	34.279	5.13052631578947	-0.329
seq14	-8.38263157894737	34.397	5.20368421052632	-0.0505
seq15	-7.17894736842105	34.6105	5.01631578947368	-1.3165
seq16	-5.5321052631579	34.121	5.34578947368421	0.000500000000000023
seq17	-5.93526315789474	34.074	5.22473684210526	-0.202
seq18	-4.92684210526316	33.9365	5.09578947368421	-1.008
seq19	-7.29631578947368	34.439	4.94789473684211	-0.986
seq20	-5.26157894736842	34.067	5.15842105263158	-0.5785
seq21	-7.61473684210526	34.4045	5.14947368421053	-0.532
seq22	-6.89421052631579	34.142	5.27736842105263	-0.3315
seq23	-5.90421052631579	34.12	5.05473684210526	-0.7205
seq24	-10.1073684210526	34.922	5.03789473684211	-0.5995
seq25	-9.54315789473684	34.902	4.86	-1.0795
seq26	-5.91894736842105	34.1355	5.02315789473684	-0.9185
seq27	-10.1321052631579	35.1535	4.88684210526316	-0.947
seq28	-6.27210526315789	33.968	5.23421052631579	-0.22
seq29	-7.48631578947368	34.15	5.09578947368421	-0.659
seq30	-5.8	34.332	5.16947368421053	-0.5285
seq31	-4.20736842105263	33.9635	5.05578947368421	-1.138
seq32	-7.04421052631579	34.2035	5.12789473684211	-0.4355
seq33	-5.11842105263158	33.655	5.15	-0.813
seq34	-7.46315789473684	34.5485	5.03368421052632	-0.4285
seq35	-4.38	33.981	4.97947368421053	-1.319
seq36	-6.57368421052632	34.3085	5.28894736842105	-0.1095
seq37	-5.78157894736842	34.1375	4.99263157894737	-1.216
seq38	-4.60842105263158	33.921	4.90157894736842	-1.5805
seq39	-5.69736842105263	34.051	5.06842105263158	-0.735
seq40	-5.41105263157895	34.299	4.67842105263158	-2.3565
seq41	-6.64684210526316	34.0435	5.28736842105263	-0.047
seq42	-5.77947368421053	34.376	5.05	-1.2555
seq43	-6.13315789473684	34.026	5	-1.147
seq44	-8.90210526315789	34.675	4.80578947368421	-1.379
seq45	-5.73842105263158	34.1155	5.29368421052632	0.012
seq46	-4.17157894736842	33.8435	5.02578947368421	-1.2885
seq47	-5.83526315789474	34.2565	5.06052631578947	-0.584
seq48	-7.24421052631579	34.393	5.04052631578947	-1.0055
seq49	-5.09368421052632	33.993	5.21157894736842	-0.569
seq50	-6.13894736842105	34.3405	4.96684210526316	-1.3455
seq51	-9.36631578947368	35.1505	4.61263157894737	-2.045
seq52	-4.78526315789474	34.0155	5.21105263157895	-0.603
seq53	-6.94842105263158	34.1805	5.12736842105263	-0.814
seq54	-5.85473684210526	34.1595	5.08684210526316	-0.7425
seq55	-6.81947368421053	34.437	4.96210526315789	-0.9475
seq56	-5.38157894736842	34.0335	5.13578947368421	-0.543
seq57	-4.64947368421053	34.0385	5.11947368421053	-0.805
seq58	-6.31684210526316	34.312	5.09315789473684	-0.882
seq59	-7.78684210526316	34.824	4.73421052631579	-1.9525
seq60	-4.31263157894737	34.106	5.17157894736842	-0.4475
seq61	-6.00842105263158	34.213	4.80789473684211	-1.794
seq62	-5.58421052631579	34.15	5.08684210526316	-0.4645
seq63	-5.50052631578947	34.3385	5.05736842105263	-1
seq64	-6.98052631578947	34.41	5.03473684210526	-1.2165
seq65	-6.67684210526316	34.063	4.98578947368421	-1.0725
seq66	-7.36	34.283	4.98105263157895	-0.865
seq67	-5.54052631578947	34.1035	5.0478947368421	-1.089
seq68	-6.23894736842105	34.178	4.98263157894737	-1.0405
seq69	-7.68894736842105	34.333	4.93894736842105	-0.9945
seq70	-6.17789473684211	34.267	5.08789473684211	-0.62
seq71	-7.01052631578947	34.135	5.22578947368421	-0.165
seq72	-6.15631578947368	34.454	5.01	-1.061
seq73	-5.97	34.148	5.13421052631579	-0.678
seq74	-7.69368421052632	34.6405	5.0721052631579	-0.682
seq75	-5.69526315789474	34.197	5.03894736842105	-0.875
seq76	-5.61263157894737	34.2075	5.02315789473684	-1.0015
seq77	-5.89947368421053	33.8215	5.26105263157895	-0.544
seq78	-6.27157894736842	34.3085	4.96368421052632	-1.378
seq79	-7.73631578947368	34.7145	5.06894736842105	-0.5745
seq80	-6.91263157894737	34.401	4.95894736842105	-1.0865
seq81	-4.12789473684211	33.9375	5.30631578947368	-0.2755
seq82	-8.52578947368421	34.765	4.92368421052632	-1.0865
seq83	-6.64	34.1535	4.94842105263158	-1.48
seq84	-5.73421052631579	34.2275	4.89947368421053	-1.6755
seq85	-6.63789473684211	34.3495	4.90421052631579	-1.022
seq86	-5.20052631578947	34.0885	5.07578947368421	-1.1065
seq87	-6.97526315789474	34.133	5.12526315789474	-0.599
seq88	-7.71578947368421	34.5725	5.05842105263158	-0.611
seq89	-6.88157894736842	34.378	5.18631578947368	-0.466
seq90	-6.52473684210526	34.05	5.27736842105263	-0.323
seq91	-7.56368421052632	34.4535	5.21263157894737	-0.18
seq92	-8.51842105263158	35.0245	4.69315789473684	-1.9375
seq93	-5.47842105263158	34.364	4.95631578947368	-1.2495
seq94	-7.49105263157895	34.5605	4.90631578947368	-1.5195
seq95	-7.68947368421053	34.3865	5.02947368421053	-0.9745
seq96	-7.88263157894737	34.5685	5.00315789473684	-0.67
seq97	-8.38631578947368	34.7455	4.87736842105263	-1.0475
seq98	-7.21052631578947	34.214	5.25736842105263	-0.173
seq99	-7.93578947368421	34.836	4.61684210526316	-1.893
seq100	-4.21368421052632	34.0125	5.20789473684211	-0.348
seq101	-5.81526315789474	33.9815	5.20263157894737	-0.6
seq102	-5.09210526315789	34.0225	4.98526315789474	-1.1165
seq103	-6.68947368421053	34.301	4.94578947368421	-1.363
seq104	-5.48578947368421	34.137	4.99157894736842	-1.2535
seq105	-7.61842105263158	34.5405	5.07631578947368	-0.4425
seq106	-7.39210526315789	34.363	5.01894736842105	-1.186
seq107	-8.23157894736842	34.6555	4.89842105263158	-1.139
seq108	-7.61315789473684	34.51	4.97578947368421	-1.22
seq109	-6.34842105263158	34.2465	4.97526315789474	-1.068
seq110	-7.55052631578947	34.679	4.74842105263158	-1.8215
seq111	-8.3978947368421	34.665	4.87526315789474	-1.0285
