Sequence	Average_ProT	Average_HelT	Average_MGW	Average_Roll
seq1	-5.11842105263158	33.9285	5.14368421052632	-0.803
seq2	-7.39684210526316	34.522	4.85684210526316	-1.374
seq3	-9.14526315789474	34.6475	4.88736842105263	-1.3515
seq4	-7.65631578947368	34.4855	4.88315789473684	-1.131
seq5	-4.73789473684211	33.8395	5.10526315789474	-0.605
seq6	-6.53263157894737	34.046	5.24315789473684	-0.2855
seq7	-8.7278947368421	34.667	4.9521052631579	-0.8225
seq8	-6.25842105263158	34.3145	4.97526315789474	-0.9845
seq9	-7.53684210526316	34.4535	4.87894736842105	-1.3655
seq10	-6.48894736842105	33.977	5.07315789473684	-1.115
seq11	-5.61947368421053	33.9645	5.23631578947368	-0.0725
seq12	-8.44684210526316	34.673	4.89894736842105	-1.046
seq13	-7.44421052631579	34.574	4.99894736842105	-0.7135
seq14	-10.0063157894737	34.927	4.86157894736842	-1.1455
seq15	-9.83473684210526	34.925	5.01105263157895	-0.3225
seq16	-7.69578947368421	34.2445	5.16	-0.0685000000000001
seq17	-6.84105263157895	34.1655	5.09842105263158	-0.5365
seq18	-6.14578947368421	34.1065	5.03	-0.4185
seq19	-7.33368421052632	34.3535	4.98473684210526	-0.9225
seq20	-7.17421052631579	34.4375	5.02473684210526	-0.5895
seq21	-6.11842105263158	34.292	4.93473684210526	-1.1365
seq22	-5.77578947368421	33.95	5.26631578947368	-0.2075
seq23	-5.60315789473684	34.165	5.14526315789474	-0.549
seq24	-7.10894736842105	34.1615	5.10157894736842	-0.606
seq25	-6.24894736842105	34.0605	4.95526315789474	-1.2055
seq26	-10.3121052631579	35.228	4.59736842105263	-2.019
seq27	-9.37842105263158	34.6785	5.03789473684211	-0.627
seq28	-8.47894736842105	34.515	5.04736842105263	-0.5515
seq29	-6.42736842105263	33.929	5.17263157894737	-0.165
seq30	-7.05210526315789	34.206	5.03736842105263	-0.853
seq31	-5.87631578947368	34.0755	5	-1.2485
seq32	-7.98684210526316	34.3255	5.13947368421053	-0.354
seq33	-8.79052631578947	34.4745	4.96105263157895	-0.8385
seq34	-7.14684210526316	34.25	5.23578947368421	0.0355
seq35	-8.36052631578947	34.867	4.71631578947368	-1.6055
seq36	-5.89105263157895	34.166	4.92631578947368	-1.389
seq37	-7.53105263157895	34.384	5.10789473684211	-0.479
seq38	-6.23736842105263	34.3615	5.16368421052632	-0.713
seq39	-6.98315789473684	34.219	5.17631578947368	-0.2785
seq40	-6.94526315789474	34.1	5.06631578947368	-0.953
seq41	-8.08263157894737	34.6265	4.78789473684211	-1.364
seq42	-7.04631578947368	34.323	4.88578947368421	-1.268
seq43	-5.78894736842105	33.899	5.15684210526316	-0.551
seq44	-7.01210526315789	34.424	5.03315789473684	-0.989
seq45	-5.62	34.2485	5.24315789473684	-0.031
seq46	-4.90684210526316	34.2705	4.98210526315789	-1.566
seq47	-6.39315789473684	34.1045	5.13684210526316	-0.8835
seq48	-8.78263157894737	35.0055	4.68736842105263	-1.9965
seq49	-6.89894736842105	34.093	5.07157894736842	-0.9785
seq50	-5.30631578947368	34.0755	5.12105263157895	-0.849
