Sequence	Average_ProT	Average_HelT	Average_MGW	Average_Roll
seq1	-6.735625	34.6305882352941	4.800625	-1.62117647058824
seq2	-7.786875	34.6764705882353	4.78	-1.67235294117647
seq3	-9.4775	35.1111764705882	4.731875	-1.68235294117647
seq4	-6.7525	34.2164705882353	5.21375	-0.57
seq5	-5.53875	33.8711764705882	5.09875	-0.730588235294118
seq6	-7.78875	34.3858823529412	5.14	-0.0823529411764706
seq7	-5.71875	34.04	5.078125	-0.621764705882353
seq8	-6.796875	34.5023529411765	4.8525	-1.49705882352941
seq9	-6.513125	34.1394117647059	5.126875	-0.557647058823529
seq10	-8.07	34.74	4.878125	-1.29647058823529
seq11	-5.3175	34.1182352941176	5.13875	-0.672352941176471
seq12	-7.176875	34.3288235294118	4.88875	-1.19882352941176
seq13	-5.016875	34.1558823529412	4.93375	-1.41235294117647
seq14	-7.97375	34.4964705882353	5.146875	-0.605294117647059
seq15	-7.64625	34.75	4.68875	-2.09
seq16	-8.8975	35.0476470588235	4.745625	-1.59176470588235
seq17	-6.508125	34.1582352941176	5.200625	-0.335882352941176
seq18	-6.254375	34.1582352941176	5.110625	-0.53
seq19	-5.17625	34.3964705882353	4.894375	-1.27941176470588
seq20	-6.13625	34.2170588235294	4.843125	-1.64588235294118
seq21	-9.02625	35.1235294117647	4.6975	-1.53588235294118
seq22	-7.453125	34.7282352941176	5.13375	-0.310588235294118
seq23	-7.47375	34.1964705882353	5.01375	-1.09823529411765
seq24	-8.663125	34.6364705882353	4.953125	-0.845882352941176
seq25	-9.254375	34.7523529411765	4.813125	-1.59411764705882
seq26	-4.7175	33.9082352941176	5.06625	-1.14352941176471
seq27	-7.373125	34.4111764705882	4.876875	-1.33117647058824
seq28	-7.73125	34.4070588235294	4.949375	-1.27529411764706
seq29	-7.399375	34.4105882352941	4.915625	-1.43647058823529
seq30	-8.455	34.5964705882353	4.9575	-1.29294117647059
seq31	-9.413125	34.9441176470588	4.808125	-1.29823529411765
seq32	-6.94	34.4611764705882	4.87875	-1.64764705882353
seq33	-5.269375	34.2523529411765	4.911875	-1.39823529411765
seq34	-6.69	34.4917647058824	5.024375	-0.800588235294118
seq35	-9.046875	34.66	5.0325	-0.285294117647059
seq36	-4.433125	34.0741176470588	5.115	-0.844705882352941
seq37	-4.94375	33.9864705882353	5.083125	-0.9
seq38	-8.13375	34.5964705882353	4.8925	-1.00529411764706
seq39	-6.075625	34.0341176470588	5.169375	-0.765882352941176
seq40	-5.046875	34.1352941176471	5.068125	-0.838823529411765
seq41	-5.619375	34.0394117647059	5.28625	-0.0029411764705883
seq42	-5.923125	33.7717647058824	5.244375	-0.378823529411765
seq43	-4.706875	33.9217647058824	5.020625	-1.22647058823529
seq44	-8.22125	34.6476470588235	4.905625	-1.3
seq45	-4.819375	34.0182352941176	5.25125	-0.494117647058824
seq46	-6.2925	34.4929411764706	4.9825	-0.924705882352941
seq47	-7.010625	34.4841176470588	5.069375	-0.881176470588235
seq48	-6.2625	34.3294117647059	5.15125	-0.468235294117647
seq49	-6.095	34.3494117647059	5.13	-0.729411764705882
seq50	-6.975625	34.7423529411765	4.77625	-1.79705882352941
seq51	-5.996875	34.6223529411765	4.8775	-1.83235294117647
seq52	-6.54375	34.2588235294118	4.83875	-1.61882352941176
seq53	-7.791875	34.5564705882353	4.951875	-1.00058823529412
seq54	-6.37	34.4435294117647	5.19125	0.224705882352941
seq55	-7.240625	34.6223529411765	4.8175	-1.22941176470588
seq56	-4.725	34.1223529411765	5.059375	-0.902352941176471
seq57	-6.85125	34.2964705882353	5.19	-0.485882352941176
seq58	-6.443125	34.5058823529412	4.743125	-1.85117647058824
seq59	-6.63	34.3741176470588	5.25625	-0.0170588235294117
seq60	-6.810625	34.3205882352941	5.195	-0.666470588235294
seq61	-6.43125	34.5470588235294	5	-1.33470588235294
seq62	-9.02375	35.04	4.753125	-2.03117647058824
seq63	-9.55	35.6258823529412	4.463125	-2.82117647058824
seq64	-8.583125	34.8388235294118	4.7975	-1.44823529411765
seq65	-7.1975	34.6047058823529	4.79875	-1.84
seq66	-9.375	34.5735294117647	5.053125	-0.501176470588235
seq67	-6.280625	34.18	5.094375	-0.74
seq68	-7.13125	34.7458823529412	4.805	-2.01647058823529
seq69	-8.6525	34.6682352941177	4.811875	-1.35117647058824
seq70	-6.783125	34.5488235294118	4.9275	-1.32117647058824
seq71	-5.150625	34.2347058823529	5.06625	-0.751176470588235
seq72	-5.2275	34.2352941176471	4.91	-1.37294117647059
seq73	-5.040625	34.0270588235294	5.145625	-0.443529411764706
seq74	-6.96	34.2623529411765	5.140625	-0.0929411764705882
seq75	-4.58	33.7717647058824	5.148125	-0.854117647058824
seq76	-3.863125	33.9535294117647	5.235	-0.724117647058824
seq77	-6.66625	34.3170588235294	4.93375	-1.05352941176471
seq78	-7.321875	34.4770588235294	4.904375	-1.64294117647059
seq79	-5.960625	34.0388235294118	5.163125	-0.852352941176471
seq80	-5.97875	34.2129411764706	5.086875	-0.857647058823529
seq81	-4.04125	33.8635294117647	5.21	-0.367647058823529
seq82	-6.61625	34.3952941176471	4.833125	-1.25117647058824
seq83	-5.023125	34.1558823529412	5.21375	-0.37
seq84	-4.394375	33.9176470588235	5.0375	-1.13294117647059
seq85	-4.485625	33.8317647058823	5.130625	-1.08176470588235
seq86	-6.3675	34.3935294117647	5.03375	-1.11764705882353
seq87	-8.225	34.5152941176471	5.2325	-0.424705882352941
seq88	-7.060625	34.0070588235294	5.403125	0.638235294117647
seq89	-10.08125	35.2070588235294	4.605625	-1.90176470588235
seq90	-5.8125	34.4476470588235	4.975625	-1.35294117647059
seq91	-7.53	34.7617647058824	4.743125	-1.83588235294118
seq92	-9.46375	34.8982352941176	5.205625	0.132352941176471
seq93	-6.916875	34.8558823529412	4.855625	-1.25470588235294
seq94	-7.48625	34.5523529411765	5.1375	-0.875294117647059
seq95	-7.71	34.67	4.935	-1.31647058823529
seq96	-9.491875	35.0141176470588	4.865625	-1.49235294117647
seq97	-8.073125	34.6976470588235	4.760625	-1.85882352941176
seq98	-7.01625	34.0623529411765	5.105	-0.634705882352941
seq99	-9.81125	35.4505882352941	4.539375	-1.91882352941176
seq100	-4.936875	34.0558823529412	5.198125	-0.484117647058824
seq101	-7.50875	34.5752941176471	5.04625	-0.609411764705882
seq102	-4.965625	34.0747058823529	5.1025	-0.891176470588235
seq103	-4.723125	33.9258823529412	5.041875	-0.93
seq104	-5.89875	34.3370588235294	4.91875	-1.57294117647059
seq105	-7.02625	34.5688235294118	5.0875	-0.877058823529412
seq106	-5.75875	33.8617647058824	5.113125	-0.597058823529412
seq107	-9.060625	35.14	4.706875	-1.94882352941176
seq108	-6.353125	34.0341176470588	5.158125	-0.415882352941176
seq109	-7.225	34.46	4.9875	-1.09647058823529
seq110	-8.5825	34.7382352941177	4.874375	-1.34705882352941
seq111	-5.688125	34.0641176470588	5.186875	-0.696470588235294
seq112	-10.8225	35.2652941176471	4.77125	-1.38058823529412
seq113	-8.03375	34.3923529411765	5.1525	-0.311764705882353
seq114	-6.94375	34.1382352941176	4.994375	-1.18470588235294
seq115	-4.75375	34.0758823529412	4.7775	-2.09
seq116	-6.08125	34.4070588235294	4.925625	-1.26470588235294
seq117	-4.771875	34.3123529411765	5.028125	-1.17647058823529
seq118	-8.745	34.8852941176471	4.8575	-1.55588235294118
seq119	-7.9225	34.7964705882353	4.9425	-1.41176470588235
seq120	-4.68625	34.0247058823529	5.12	-1.00117647058824
seq121	-7.25625	34.4758823529412	5.098125	-1.05470588235294
seq122	-6.298125	34.4917647058824	5.150625	-0.964117647058824
seq123	-3.774375	33.8758823529412	4.9025	-1.73352941176471
seq124	-5.81	33.9029411764706	5.155	-0.361176470588235
seq125	-5.2525	34.1429411764706	5.03125	-1.12823529411765
seq126	-5.156875	34.0564705882353	5.11875	-0.815294117647059
seq127	-6.059375	34.1141176470588	5.111875	-0.947058823529412
seq128	-6.5525	34.5794117647059	4.87875	-1.62235294117647
seq129	-6.146875	34.2358823529412	5	-1.22647058823529
seq130	-6.368125	34.7552941176471	4.845	-1.94764705882353
seq131	-7.886875	34.4911764705882	5.206875	0.624117647058824
seq132	-4.879375	34.0405882352941	5.14125	-0.618235294117647
seq133	-8.385625	34.7582352941176	4.894375	-1.27705882352941
seq134	-3.9975	34.13	5.19625	-0.84
seq135	-6.1525	34.1705882352941	4.964375	-0.87
seq136	-7.331875	34.42	5.13625	-0.0188235294117648
seq137	-5.655	34.1682352941176	5.16375	-0.400588235294118
seq138	-9.48125	34.6423529411765	5.288125	0.26
seq139	-6.0175	34.3317647058823	4.91125	-1.22470588235294
seq140	-7.84875	34.6882352941176	4.8625	-1.25705882352941
seq141	-4.4475	34.0082352941176	5.01125	-0.912941176470588
seq142	-8.415	34.7605882352941	4.9075	-1.08764705882353
seq143	-5.293125	34.18	5.138125	-0.472352941176471
seq144	-6.4075	34.5152941176471	4.783125	-1.83352941176471
seq145	-8.215	34.4135294117647	5.07625	-0.391176470588235
seq146	-7.173125	34.6382352941176	4.701875	-2.03235294117647
seq147	-6.52375	34.2247058823529	5.065	-0.422941176470588
seq148	-5.928125	34.3741176470588	4.92125	-1.08470588235294
seq149	-7.795625	34.4388235294118	4.871875	-0.711176470588235
seq150	-5.859375	34.1417647058824	5.053125	-0.515294117647059
seq151	-6.215	34.0747058823529	4.97125	-0.852352941176471
seq152	-6.193125	34.3323529411765	5.2125	0.0258823529411765
seq153	-7.493125	34.4264705882353	4.968125	-0.437647058823529
seq154	-5.936875	34.2023529411765	5.02875	-0.474117647058824
seq155	-6.47125	34.2782352941176	4.963125	-1.27882352941176
seq156	-5.84	34.3494117647059	4.94	-1.34176470588235
seq157	-5.4025	34.0258823529412	5.265625	0.0923529411764706
seq158	-6.540625	34.4735294117647	5.225625	0.221176470588235
seq159	-8.195	34.4329411764706	5.048125	-0.362941176470588
seq160	-6.309375	34.2023529411765	4.973125	-0.873529411764706
seq161	-7.7725	34.4058823529412	4.873125	-1.33
seq162	-5.42625	33.9011764705882	5.1975	-0.495882352941176
seq163	-8.223125	34.4447058823529	5.188125	0.00588235294117648
seq164	-8.04125	34.4905882352941	5.053125	-0.981764705882353
seq165	-6.66	34.1	5.00875	-1.21647058823529
seq166	-5.910625	33.9588235294118	5.11625	-0.689411764705882
seq167	-6.0825	34.0394117647059	5.069375	-0.919411764705882
seq168	-5.970625	34.4576470588235	5.038125	-1.09941176470588
seq169	-4.9025	33.8688235294118	4.928125	-1.71294117647059
seq170	-7.04	34.6517647058823	4.999375	-0.954117647058823
seq171	-3.711875	33.9441176470588	4.96125	-1.51294117647059
seq172	-4.85875	34.1594117647059	5.155	-0.708823529411765
seq173	-8.526875	34.8258823529412	4.83125	-1.45941176470588
seq174	-4.186875	34.1417647058824	4.92625	-1.63764705882353
seq175	-6.216875	34.1376470588235	5.22125	-0.277647058823529
seq176	-7.18375	34.6494117647059	5.10375	-0.448235294117647
seq177	-7.60375	34.5829411764706	5.24375	-0.0170588235294117
seq178	-6.149375	34.4594117647059	4.874375	-1.62294117647059
seq179	-5.75625	34.6123529411765	4.966875	-1.34058823529412
seq180	-7.080625	34.5541176470588	5.15875	-0.322352941176471
seq181	-5.616875	34.3905882352941	4.92375	-1.36941176470588
seq182	-6.1575	34.5388235294118	5.128125	-0.794705882352941
seq183	-5.636875	34.4129411764706	4.975	-1.18882352941176
seq184	-8.11625	34.9117647058824	4.681875	-2.17176470588235
seq185	-8.016875	34.9005882352941	4.933125	-0.91
seq186	-3.68875	34.0747058823529	4.945	-1.52941176470588
seq187	-7.628125	34.6129411764706	5.005625	-1.03588235294118
seq188	-5.429375	34.0458823529412	5.090625	-0.843529411764706
seq189	-8.499375	34.6052941176471	4.99875	-0.84
seq190	-9.31625	34.9576470588235	4.94625	-0.881176470588235
seq191	-5.019375	34.2552941176471	5.0725	-0.887647058823529
seq192	-5.158125	34.2635294117647	5.188125	-0.750588235294118
seq193	-6.285625	34.3523529411765	5.093125	-0.852352941176471
seq194	-9.221875	35.1841176470588	4.6575	-1.90647058823529
seq195	-7.69	34.6670588235294	5.07875	-1.02823529411765
seq196	-7.5425	34.5635294117647	5.053125	-1.09588235294118
seq197	-5.51625	34.38	5.059375	-0.574705882352941
seq198	-4.909375	33.9970588235294	5.1125	-0.66
seq199	-4.990625	34.2829411764706	4.81625	-1.74117647058824
seq200	-5.965	34.3070588235294	4.955625	-1.14235294117647
seq201	-5.350625	34.3058823529412	4.94625	-1.56941176470588
seq202	-6.295625	34.3052941176471	5.18	-0.165294117647059
seq203	-5.52	34.0688235294118	5.24125	-0.516470588235294
seq204	-6.328125	34.2076470588235	5.11625	-0.500588235294118
seq205	-5.464375	34.1217647058824	5.1325	-0.512941176470588
seq206	-7.43	34.5676470588235	5.116875	-0.437058823529412
seq207	-5.336875	34.3770588235294	5.088125	-0.775882352941176
seq208	-4.425625	34.12	4.964375	-1.26941176470588
seq209	-7.83125	34.5147058823529	5.021875	-0.375882352941176
seq210	-5.383125	34.3458823529412	4.96375	-1.22
seq211	-5.988125	34.2029411764706	5.17375	-0.478235294117647
seq212	-9.269375	35.0523529411765	4.92125	-0.675294117647059
seq213	-5.011875	34.0558823529412	4.88	-1.47588235294118
seq214	-6.00375	34.2158823529412	5.093125	-0.846470588235294
seq215	-8.795625	34.9347058823529	4.83875	-1.32647058823529
seq216	-6.016875	34.2852941176471	5.133125	-0.702941176470588
seq217	-8.74625	35.1405882352941	4.859375	-1.38235294117647
seq218	-4.601875	34.1070588235294	5.11625	-0.981764705882353
seq219	-9.248125	34.6735294117647	4.840625	-1.29764705882353
seq220	-7.47375	34.6317647058824	4.885	-0.709411764705882
seq221	-6.26125	34.2288235294118	5.26375	0.0864705882352942
seq222	-6.428125	34.3970588235294	4.891875	-1.39411764705882
seq223	-9.089375	35.0605882352941	4.668125	-1.86588235294118
seq224	-4.9025	34	5.23	-0.196470588235294
seq225	-4.589375	33.9841176470588	5.146875	-0.531176470588235
seq226	-5.673125	34.2623529411765	5.051875	-0.941176470588235
seq227	-6.949375	34.2147058823529	5.046875	-0.594705882352941
seq228	-8.594375	34.9570588235294	4.75375	-1.58176470588235
seq229	-8.57875	34.4523529411765	4.79125	-1.73823529411765
seq230	-7.035	34.51	4.779375	-2.13941176470588
seq231	-3.96125	33.7952941176471	4.908125	-1.81529411764706
seq232	-5.338125	33.9794117647059	5.029375	-1.18294117647059
seq233	-6.09375	34.2882352941176	4.95375	-1.31470588235294
seq234	-6.62	34.2376470588235	4.925	-1.14470588235294
seq235	-5.75875	34.0717647058824	5.031875	-1.08588235294118
seq236	-6.805625	34.3747058823529	4.893125	-1.50294117647059
seq237	-6.38	34.2817647058824	4.93875	-1.17058823529412
seq238	-7.59375	34.5076470588235	4.938125	-1.02764705882353
seq239	-7.860625	35	4.64875	-2.15882352941176
seq240	-8.435625	34.44	5.08875	-0.681764705882353
seq241	-5.945	34.1688235294118	5.086875	-0.883529411764706
seq242	-7.014375	34.22	5.138125	-0.681176470588235
seq243	-7.01375	34.2564705882353	5.02	-1.21176470588235
seq244	-6.39375	34.3317647058823	5.03875	-1.01647058823529
seq245	-8.023125	34.7276470588235	4.926875	-1.10823529411765
seq246	-4.8275	33.9452941176471	4.913125	-1.59
seq247	-7.319375	34.3017647058824	5.1025	-0.738823529411765
seq248	-7.54625	34.5594117647059	4.96	-1.13352941176471
seq249	-5.411875	34.1835294117647	4.87125	-1.95941176470588
seq250	-6.02875	34.2770588235294	5.035	-0.987058823529412
seq251	-5.050625	33.9152941176471	5.296875	-0.0070588235294118
seq252	-5.44875	33.9747058823529	5.006875	-1.25764705882353
seq253	-5.73875	34.1017647058824	4.951875	-1.07117647058824
seq254	-4.425	33.9458823529412	4.92	-1.38588235294118
seq255	-6.075625	34.4247058823529	4.838125	-1.56117647058824
seq256	-7.249375	34.14	5.026875	-0.642941176470588
seq257	-7.434375	34.3117647058824	5.158125	-0.347647058823529
seq258	-6.78	34.5847058823529	4.865625	-1.45117647058824
seq259	-7.531875	34.4982352941176	5.123125	-0.469411764705882
seq260	-6.41625	34.2758823529412	5.328125	0.0335294117647059
seq261	-5.843125	34.0911764705882	4.870625	-1.13588235294118
seq262	-8.04625	34.6317647058824	4.758125	-1.81941176470588
seq263	-3.554375	34.0317647058824	4.990625	-1.46764705882353
seq264	-5.113125	34.0611764705882	4.95375	-1.62
seq265	-3.63375	33.8411764705882	5.118125	-0.956470588235294
seq266	-4.095625	33.8488235294118	4.936875	-1.57411764705882
seq267	-4.835	34.0452941176471	5.225	-0.317647058823529
seq268	-6.96125	34.2576470588235	5.196875	0.226470588235294
seq269	-5.67	34.1488235294118	5.0775	-0.968235294117647
seq270	-4.965	33.9429411764706	5.04625	-1.00647058823529
seq271	-4.51875	33.82	4.980625	-1.37176470588235
seq272	-5.014375	34.0276470588235	5.061875	-0.861176470588235
seq273	-5.74875	34.2676470588235	5.130625	-0.605294117647059
seq274	-4.896875	33.9541176470588	4.8675	-1.39764705882353
seq275	-7.123125	34.3476470588235	5.1	-0.188823529411765
seq276	-4.59375	33.8211764705882	5.234375	-0.411176470588235
seq277	-5.03375	34.0988235294118	5.10625	-0.788235294117647
seq278	-6.949375	34.3323529411765	5.000625	-1.14352941176471
seq279	-7.864375	34.2576470588235	4.995	-1.10235294117647
seq280	-5.16625	34.0064705882353	5.25125	-0.221764705882353
seq281	-6.500625	34.3158823529412	4.943125	-1.33117647058824
seq282	-5.70375	34.1147058823529	4.916875	-1.46235294117647
seq283	-5.11125	34.0641176470588	5.0775	-0.975882352941177
seq284	-7.755	34.2241176470588	5.181875	-0.248235294117647
seq285	-8.141875	34.2117647058824	5.225625	-0.279411764705882
seq286	-4.5125	34.0894117647059	4.938125	-1.86941176470588
seq287	-6.199375	34.3129411764706	4.925625	-1.73117647058824
seq288	-5.3575	34.2511764705882	5.173125	-0.365294117647059
seq289	-5.62125	34.31	4.99875	-1.24294117647059
seq290	-5.310625	34.3429411764706	4.83375	-1.78
seq291	-4.30375	34.0947058823529	4.96625	-1.63470588235294
seq292	-5.635	34.1705882352941	5.045625	-1.07705882352941
