Sequence	Average_ProT	Average_HelT	Average_MGW	Average_Roll
seq1	-7.861875	34.2552941176471	5.18125	-0.0747058823529411
seq2	-7.074375	34.4988235294118	4.875625	-1.57705882352941
seq3	-6.28125	34.0817647058823	5.261875	-0.286470588235294
seq4	-7.5625	34.6288235294118	4.896875	-1.14588235294118
seq5	-7.254375	34.4688235294118	5.05	-0.524705882352941
seq6	-7.7325	34.6411764705882	4.70625	-1.77470588235294
seq7	-8.14625	34.7911764705882	4.813125	-1.59588235294118
seq8	-6.15125	34.0476470588235	5.030625	-1.06117647058824
seq9	-7.29125	34.2835294117647	5.18375	-0.0764705882352941
seq10	-9.895625	35.4611764705882	4.51125	-2.24941176470588
seq11	-5.26625	34.1294117647059	5.019375	-0.806470588235294
seq12	-5.841875	34.27	5.00375	-0.774705882352941
seq13	-7.210625	34.4	4.93	-0.920588235294118
seq14	-10.881875	35.1835294117647	4.7475	-1.21352941176471
seq15	-5.25125	34.1158823529412	5.1925	-0.461176470588235
seq16	-7.361875	34.6823529411765	4.918125	-1.42529411764706
seq17	-6.58125	34.2764705882353	4.965625	-0.76
seq18	-3.88375	33.8658823529412	5.1025	-0.902941176470588
seq19	-5.401875	34.11	5.11375	-0.724705882352941
seq20	-6.025625	34.0594117647059	5.358125	0.011764705882353
seq21	-5.23375	34.1958823529412	5.09875	-0.623529411764706
seq22	-6.4725	34.6323529411765	4.748125	-1.69176470588235
seq23	-7.60125	34.3488235294118	5.214375	0.217647058823529
seq24	-4.52125	34.0229411764706	5.0125	-0.857058823529412
seq25	-7.75875	34.6123529411765	4.805	-1.57176470588235
seq26	-6.74875	34.1847058823529	5.13875	-0.667647058823529
seq27	-6.45	34.2711764705882	5.10875	-0.497647058823529
seq28	-6.6525	34.2911764705882	4.925	-1.23588235294118
seq29	-6.449375	34.0664705882353	5.22	-0.36
seq30	-8.82125	34.9835294117647	4.558125	-2.19117647058824
seq31	-7.863125	34.5758823529412	4.91375	-1.40588235294118
seq32	-7.176875	34.3088235294118	4.909375	-1.45117647058824
seq33	-6.521875	34.3741176470588	4.95625	-1.30823529411765
seq34	-5.35125	34.3588235294118	4.9975	-0.85
seq35	-5.974375	34.1688235294118	5.000625	-0.951764705882353
seq36	-4.98625	33.8570588235294	5.18125	-0.738823529411765
seq37	-8.820625	34.7329411764706	4.965625	-0.99
seq38	-8.503125	34.7241176470588	4.94375	-1.12882352941176
seq39	-7.110625	34.4229411764706	4.944375	-0.889411764705882
seq40	-5.621875	34.3758823529412	5.083125	-1.03411764705882
seq41	-8.401875	35.2564705882353	4.88375	-1.27352941176471
seq42	-6.038125	34.5094117647059	4.8925	-1.47176470588235
seq43	-3.739375	34.2117647058824	5.01875	-1.30764705882353
seq44	-6.873125	34.6805882352941	4.7725	-1.78058823529412
seq45	-5.215625	34.3376470588235	5.099375	-1.02470588235294
seq46	-7.845	34.7235294117647	4.859375	-1.39235294117647
seq47	-8.99625	34.7923529411765	4.97375	-0.650588235294118
seq48	-7.2525	34.8523529411765	4.940625	-1.16411764705882
seq49	-7.89875	34.6329411764706	5.04625	-0.606470588235294
seq50	-6.11625	34.6758823529412	4.786875	-2.19764705882353
seq51	-5.5425	33.9676470588235	5.110625	-1.16529411764706
seq52	-5.6625	34.3647058823529	5.268125	-0.365294117647059
seq53	-7.496875	34.5817647058823	4.8575	-1.60764705882353
seq54	-7.406875	34.5270588235294	4.93625	-0.71
seq55	-9.5575	34.6888235294118	5.01125	0.0576470588235295
seq56	-7.830625	34.6429411764706	4.725	-1.61235294117647
seq57	-5.41	34.1470588235294	4.9975	-0.882352941176471
seq58	-6.116875	34.2035294117647	5.024375	-0.978235294117647
seq59	-8.549375	34.8111764705882	5.098125	-0.524705882352941
seq60	-6.933125	34.5776470588235	4.800625	-1.55588235294118
seq61	-8.209375	34.8335294117647	4.89	-1.07294117647059
seq62	-5.746875	34.2194117647059	5.01	-1.11058823529412
seq63	-6.21	34.0370588235294	5.316875	-0.166470588235294
seq64	-9.519375	35.3305882352941	4.615625	-1.75176470588235
seq65	-6.158125	34.2582352941176	5.0475	-0.283529411764706
seq66	-7.0375	34.2470588235294	5.11375	-0.534705882352941
seq67	-5.6125	34.0835294117647	5.219375	-0.189411764705882
seq68	-7.51125	34.5194117647059	4.953125	-1.07176470588235
seq69	-7.79625	34.6476470588235	4.873125	-1.15294117647059
seq70	-7.649375	34.4464705882353	5.184375	-0.326470588235294
seq71	-7.394375	34.6894117647059	5.11125	-0.453529411764706
seq72	-6.105625	34.3235294117647	5.194375	-0.382352941176471
seq73	-6.98625	34.5758823529412	4.90125	-1.49352941176471
seq74	-7.775625	34.6464705882353	4.975	-0.984705882352941
seq75	-7.256875	34.3558823529412	4.95	-1.04117647058824
seq76	-8.004375	34.3111764705882	5.096875	-0.247647058823529
seq77	-9.19875	34.7576470588235	5.1125	-0.227058823529412
seq78	-6.92125	34.4747058823529	5.015	-0.894705882352941
seq79	-7.585625	34.3664705882353	5.00375	-0.656470588235294
seq80	-5.323125	34.0447058823529	5.133125	-0.752941176470588
seq81	-6.985	34.1823529411765	5.17875	-0.57
seq82	-5.054375	34.1770588235294	5.08875	-1.02470588235294
seq83	-6.5925	34.0588235294118	5.353125	-0.0729411764705882
seq84	-4.606875	33.9870588235294	5.14875	-0.744117647058824
seq85	-7.19125	34.3888235294118	4.7825	-1.99470588235294
seq86	-6.080625	34.2288235294118	5.080625	-1.18117647058824
seq87	-6.315	34.0482352941176	5.156875	-0.58
